Mesh ID,Cross-section type,Pressure,Pore Area
2_6a,circular,0.8,19.8944
1_2,circular,0.0,40.97390000000001
3_4,circular,1.6,18.0763
2_1,oval,1.7,80.522
1_8,circular,1.1,61.9714
2_3,circular,1.6,69.4657
2_7,oval,1.0,61.43
3_6,oval,1.3,49.413000000000004
2_6a,oval,1.9,26.822200000000002
1_6,oval,0.5,68.9367
2_3,oval,1.8,81.7796
1_6,circular,0.4,55.180299999999995
1_3,circular,1.2,40.6976
2_7,circular,1.2,46.3304
2_7,circular,1.3,45.7663
1_3,circular,1.3,40.2434
2_3,oval,1.9,81.8652
1_6,circular,0.5,54.3686
1_6,oval,0.4,68.4554
2_6a,oval,1.8,26.863000000000003
3_6,oval,1.2,49.7682
2_7,oval,1.1,61.3222
2_3,circular,1.7,69.1191
1_8,circular,1.0,62.4183
2_1,oval,1.6,80.4145
3_4,circular,1.7,17.5942
1_2,circular,0.1,41.035900000000005
2_6a,circular,0.9,19.441000000000003
1_3,oval,0.9,49.478100000000005
1_2,circular,0.3,40.3106
2_1,oval,1.4,80.1097
1_4,oval,0.9,45.3728
3_4,circular,1.5,18.5655
1_8,circular,1.2,61.49940000000001
3_2,circular,0.9,19.681
2_3,circular,1.5,69.7925
2_7,oval,1.3,61.0604
3_6,oval,1.0,50.5229
1_6,circular,0.7,52.718500000000006
1_6,oval,0.6,69.2984
3_2,oval,1.8,24.1448
1_3,circular,1.1,41.1572
1_8,oval,1.9,66.24770000000001
2_7,circular,1.1,46.899499999999996
2_7,circular,1.0,47.49900000000001
1_8,oval,1.8,66.392
1_3,circular,1.0,41.623900000000006
3_2,oval,1.9,23.8958
1_6,oval,0.7,69.5081
1_6,circular,0.6,53.5427
3_6,oval,1.1,50.1737
2_7,oval,1.2,61.1971
2_3,circular,1.4,70.1621
1_2,circular,2.0,32.0249
3_2,circular,0.8,20.314600000000002
1_8,circular,1.3,61.063500000000005
1_4,oval,0.8,45.3983
3_4,circular,1.4,19.0836
2_1,oval,1.5,80.26060000000001
1_2,circular,0.2,40.715500000000006
1_3,oval,0.8,49.33650000000001
1_2,circular,0.6,38.8777
1_8,circular,1.7,59.3178
2_1,oval,1.1,79.577
3_4,circular,1.0,21.4051
2_3,circular,1.0,71.6175
3_6,oval,1.5,48.654300000000006
2_7,oval,1.6,60.5962
1_6,circular,0.2,56.4771
1_6,oval,0.3,67.7612
3_6,circular,0.8,36.546800000000005
1_5,circular,0.8,45.1582
1_3,circular,1.4,39.8038
2_7,circular,1.4,45.24720000000001
1_6,circular,2.0,44.2608
2_1,circular,0.8,72.0676
1_6,oval,2.0,68.473
2_1,circular,0.9,71.78970000000001
2_7,circular,1.5,44.7433
1_3,circular,1.5,39.359300000000005
3_6,circular,0.9,35.6595
1_5,circular,0.9,44.50690000000001
1_6,oval,0.2,66.6272
1_6,circular,0.3,55.92770000000001
2_7,oval,1.7,60.44
3_6,oval,1.4,49.046400000000006
2_3,circular,1.1,71.2505
3_4,circular,1.1,20.794800000000002
2_1,oval,1.0,79.3546
1_8,circular,1.6,59.7126
1_2,circular,0.7,38.3543
1_4,circular,1.9,35.1036
1_2,circular,0.5,39.3806
1_8,circular,1.4,60.589600000000004
3_4,circular,1.3,19.6408
2_1,oval,1.2,79.7708
3_4,oval,1.9,21.675100000000004
2_3,circular,1.3,70.5178
3_6,oval,1.6,48.313500000000005
2_7,oval,1.5,60.7471
1_2,oval,0.8,46.05310000000001
1_6,oval,0.0,53.4516
1_6,circular,0.1,56.6453
1_3,circular,1.7,38.5109
1_5,oval,0.8,54.2417
2_7,circular,1.7,43.7763
2_7,circular,1.6,44.24400000000001
1_3,circular,1.6,38.9275
1_5,oval,0.9,54.35770000000001
1_6,circular,0.0,53.48480000000001
1_6,oval,0.1,58.225699999999996
1_2,oval,0.9,46.23400000000001
2_7,oval,1.4,60.907300000000006
3_6,oval,1.7,47.924400000000006
2_3,circular,1.2,70.8999
3_4,oval,1.8,22.062400000000004
2_1,oval,1.3,79.9526
3_4,circular,1.2,20.201700000000002
1_8,circular,1.5,60.148599999999995
1_2,circular,0.4,39.857400000000005
1_4,circular,1.8,35.4854
1_3,circular,0.1,45.1529
1_8,oval,0.9,67.5947
2_7,circular,0.1,52.33520000000001
2_7,oval,0.3,60.42190000000001
3_6,oval,0.0,37.5268
1_6,circular,1.7,45.8082
1_6,oval,1.6,69.0207
3_2,oval,0.8,26.7952
2_1,oval,0.4,77.1374
3_4,circular,0.5,24.8246
1_4,oval,1.9,44.2884
3_2,circular,1.9,14.5983
1_8,circular,0.2,65.77770000000001
2_3,circular,0.5,73.3811
1_3,oval,1.9,49.898599999999995
1_8,circular,2.0,58.1041
1_2,circular,1.3,35.2335
1_2,circular,1.2,35.7507
1_3,oval,1.8,49.8941
2_3,circular,0.4,73.7112
1_8,circular,0.3,65.4886
3_2,circular,1.8,15.0202
3_4,circular,0.4,25.542400000000004
1_4,oval,1.8,44.4134
2_1,oval,0.5,77.6576
3_2,oval,0.9,26.553400000000003
1_6,oval,1.7,68.90010000000001
1_6,circular,1.6,46.392700000000005
3_6,oval,0.1,48.4949
2_7,oval,0.2,59.53900000000001
2_7,circular,0.0,49.6296
1_8,oval,0.8,67.6735
2_7,oval,2.0,59.9486
1_3,circular,0.0,45.121300000000005
1_3,circular,0.2,44.926700000000004
2_7,circular,0.2,52.2549
2_7,oval,0.0,49.6296
1_3,circular,2.0,37.3252
3_6,oval,0.3,51.293800000000005
2_6a,oval,0.9,26.826
1_6,oval,1.5,69.1463
1_6,circular,1.4,47.63230000000001
2_3,oval,0.8,80.2303
2_7,circular,2.0,42.4808
3_4,circular,0.6,24.1032
2_1,oval,0.7,78.4905
1_8,circular,0.1,65.9757
2_3,circular,0.6,73.05940000000001
2_6a,circular,1.8,15.749300000000002
1_2,circular,1.0,36.7648
1_2,circular,1.1,36.2663
2_6a,circular,1.9,15.3855
2_3,circular,0.7,72.7196
1_8,circular,0.0,65.8333
2_1,oval,0.6,78.0969
3_4,circular,0.7,23.4029
1_6,circular,1.5,46.99900000000001
2_3,oval,0.9,80.4871
1_6,oval,1.4,69.2834
2_6a,oval,0.8,26.7594
3_6,oval,0.2,50.414899999999996
2_7,oval,0.1,57.882200000000005
2_7,circular,0.3,51.8267
3_6,oval,2.0,46.903400000000005
1_3,circular,0.3,44.593
1_5,oval,1.8,54.4421
1_3,circular,0.7,42.982200000000006
2_7,circular,0.7,49.360600000000005
3_6,oval,0.6,51.6756
2_7,oval,0.5,61.278000000000006
1_2,oval,1.8,46.645500000000006
1_6,oval,1.0,69.601
1_6,circular,1.1,49.64640000000001
1_8,circular,0.4,65.1291
3_4,circular,0.3,26.2102
2_1,oval,0.2,75.7474
3_4,oval,0.9,26.0814
2_3,circular,0.3,73.9569
2_1,oval,2.0,80.9144
1_4,circular,0.9,39.4361
1_2,circular,1.5,34.2671
1_2,circular,1.4,34.7409
2_3,circular,2.0,68.16420000000001
1_4,circular,0.8,39.9156
3_4,circular,2.0,16.2672
3_7,oval,0.0,22.5638
2_3,circular,0.2,74.1546
3_4,oval,0.8,26.594900000000003
2_1,oval,0.3,76.5187
3_4,circular,0.2,26.716700000000003
1_8,circular,0.5,64.7296
1_6,circular,1.0,50.4003
1_6,oval,1.1,69.5779
1_2,oval,1.9,46.6526
2_7,oval,0.4,60.93150000000001
3_6,oval,0.7,51.456
2_7,circular,0.6,50.0278
1_5,oval,1.9,54.4013
1_3,circular,0.6,43.416199999999996
1_5,circular,1.8,39.2378
3_6,circular,1.8,29.3425
1_3,circular,0.4,44.2224
2_7,circular,0.4,51.2821
2_1,circular,1.8,69.3994
3_6,oval,0.5,51.7558
2_7,oval,0.6,61.473800000000004
1_6,circular,1.2,48.9371
1_6,oval,1.3,69.38480000000001
1_8,circular,0.7,63.8388
2_1,oval,0.1,74.8092
3_4,circular,0.0,23.2073
2_3,circular,0.0,74.2704
1_2,circular,1.6,33.7841
1_2,circular,1.7,33.330799999999996
2_3,circular,0.1,74.3204
3_4,circular,0.1,26.810000000000002
2_1,oval,0.0,73.4509
1_8,circular,0.6,64.29230000000001
1_6,oval,1.2,69.53750000000001
1_6,circular,1.3,48.27140000000001
2_7,oval,0.7,61.5492
3_6,oval,0.4,51.668400000000005
2_1,circular,1.9,69.1794
2_7,circular,0.5,50.6707
1_3,circular,0.5,43.839800000000004
1_5,circular,1.9,38.732600000000005
3_6,circular,1.9,28.784200000000002
1_5,circular,1.4,41.450500000000005
1_8,oval,0.0,65.8333
3_6,circular,1.4,31.828200000000002
1_3,circular,0.8,42.5189
1_5,oval,1.7,54.47430000000001
2_7,circular,0.8,48.7046
2_3,oval,2.0,81.9583
2_1,circular,1.4,70.45060000000001
3_6,oval,0.9,50.88810000000001
2_6a,oval,0.3,25.802000000000003
1_2,oval,1.7,46.6417
3_2,oval,0.1,26.250700000000002
2_3,oval,0.2,77.07180000000001
3_2,circular,1.0,19.0711
1_4,oval,1.0,45.287200000000006
3_4,oval,0.6,27.5594
2_6a,circular,1.2,18.1126
1_3,oval,1.0,49.5978
1_4,circular,0.6,40.867200000000004
1_4,circular,0.7,40.3918
2_6a,circular,1.3,17.6914
1_3,oval,1.1,49.665200000000006
3_4,oval,0.7,27.074299999999997
1_4,oval,1.1,45.2192
3_2,circular,1.1,18.486
2_3,oval,0.3,77.8788
3_2,oval,0.0,21.2485
1_2,oval,1.6,46.62350000000001
2_6a,oval,0.2,25.4087
3_6,oval,0.8,51.1968
2_1,circular,1.5,70.18180000000001
2_7,circular,0.9,48.0797
1_3,circular,0.9,42.0656
1_5,oval,1.6,54.5037
2_6a,oval,2.0,26.797600000000003
1_8,oval,0.1,66.7233
1_5,circular,1.5,40.8584
3_6,circular,1.5,31.175900000000002
3_6,circular,1.7,29.939700000000002
1_5,circular,1.7,39.7676
1_8,oval,0.3,67.4491
1_5,oval,1.4,54.528400000000005
3_2,oval,2.0,23.6298
2_1,circular,1.7,69.65010000000001
2_6a,oval,0.0,21.1879
1_2,oval,1.4,46.60190000000001
2_7,oval,0.9,61.52400000000001
3_2,oval,0.2,27.1076
2_3,oval,0.1,76.0153
3_2,circular,1.3,17.396700000000003
1_8,circular,0.8,63.382799999999996
1_4,oval,1.3,45.035000000000004
3_4,oval,0.5,28.018
1_3,oval,1.3,49.7918
2_6a,circular,1.1,18.544
1_4,circular,0.5,41.321000000000005
1_2,circular,1.9,32.4465
1_2,circular,1.8,32.8872
1_4,circular,0.4,41.7777
1_3,oval,1.2,49.748599999999996
2_6a,circular,1.0,18.9903
3_4,oval,0.4,28.401799999999998
1_4,oval,1.2,45.1312
1_8,circular,0.9,62.90480000000001
3_2,circular,1.2,17.936400000000003
2_3,oval,0.0,74.2704
3_2,oval,0.3,27.3827
2_7,oval,0.8,61.5607
1_2,oval,1.5,46.619099999999996
1_8,oval,2.0,66.0937
2_6a,oval,0.1,24.8373
2_1,circular,1.6,69.9105
1_5,oval,1.5,54.5112
3_6,circular,1.6,30.5359
1_8,oval,0.2,67.1833
1_5,circular,1.6,40.305
1_5,oval,1.1,54.484899999999996
1_5,circular,1.2,42.6282
1_8,oval,0.6,67.7318
3_6,circular,1.2,33.2755
2_1,circular,1.2,70.9723
1_2,oval,1.1,46.437
2_6a,oval,0.5,26.338400000000004
1_6,circular,1.8,45.2936
2_3,oval,0.4,78.54390000000001
1_6,oval,1.9,68.6054
3_2,oval,0.7,27.034000000000002
1_4,oval,1.6,44.6779
3_2,circular,1.6,15.918500000000002
3_4,oval,0.0,23.2073
2_6a,circular,1.4,17.276100000000003
1_3,oval,1.6,49.8933
1_4,circular,0.0,42.68
1_4,circular,0.1,42.828500000000005
2_6a,circular,1.5,16.887
1_3,oval,1.7,49.8935
3_4,oval,0.1,28.149
3_2,circular,1.7,15.4501
1_4,oval,1.7,44.52400000000001
3_2,oval,0.6,27.2233
1_6,oval,1.8,68.7427
1_6,circular,1.9,44.7609
2_3,oval,0.5,79.0899
2_6a,oval,0.4,26.1039
1_2,oval,1.0,46.3622
2_1,circular,1.3,70.6891
1_8,oval,0.7,67.7159
1_5,circular,1.3,42.0287
3_6,circular,1.3,32.5406
1_5,oval,1.0,54.4196
1_5,oval,1.2,54.5211
3_6,circular,1.1,34.0313
1_5,circular,1.1,43.2496
1_8,oval,0.5,67.7101
2_1,circular,1.1,71.2346
1_2,oval,1.2,46.5028
2_6a,oval,0.6,26.5235
2_3,oval,0.7,79.89620000000001
3_2,oval,0.4,27.4531
3_4,circular,0.9,22.0487
1_4,oval,1.5,44.801500000000004
2_1,oval,0.8,78.8122
3_2,circular,1.5,16.3922
3_4,oval,0.3,28.6691
2_3,circular,0.9,71.9783
1_3,oval,1.5,49.8793
2_6a,circular,1.7,16.1128
1_4,circular,0.3,42.188100000000006
1_4,circular,0.2,42.547
3_4,oval,2.0,21.3048
1_3,oval,1.4,49.8333
2_6a,circular,1.6,16.4883
2_3,circular,0.8,72.3612
1_4,circular,2.0,34.7415
3_4,oval,0.2,28.701700000000002
3_2,circular,1.4,16.8841
2_1,oval,0.9,79.08760000000001
3_4,circular,0.8,22.708099999999998
1_4,oval,1.4,44.9147
3_2,oval,0.5,27.373
2_3,oval,0.6,79.5346
2_6a,oval,0.7,26.6496
1_2,oval,1.3,46.544700000000006
2_1,circular,1.0,71.5167
3_6,circular,1.0,34.8192
1_8,oval,0.4,67.6195
1_5,circular,1.0,43.8732
1_5,oval,1.3,54.531099999999995
2_6a,circular,0.1,22.542200000000005
1_3,oval,0.3,47.882600000000004
1_4,circular,1.5,36.717400000000005
1_2,circular,0.9,37.3063
1_8,circular,1.8,58.89150000000001
3_2,circular,0.3,23.5257
1_4,oval,0.3,44.875299999999996
3_4,oval,1.5,23.2821
2_6a,oval,1.0,26.889200000000002
1_2,oval,0.4,44.9358
2_7,oval,1.9,60.106500000000004
3_2,oval,1.2,25.7666
2_3,oval,1.1,80.89750000000001
1_5,circular,0.7,45.789899999999996
1_8,oval,1.3,67.1266
3_6,circular,0.7,37.4361
1_5,oval,0.4,53.1778
2_1,circular,0.7,72.316
2_1,circular,0.6,72.55630000000001
1_5,oval,0.5,53.5495
1_8,oval,1.2,67.2692
1_5,circular,0.6,46.433
3_6,circular,0.6,38.406
2_3,oval,1.0,80.7003
3_2,oval,1.3,25.4833
2_7,oval,1.8,60.257799999999996
1_2,oval,0.5,45.318000000000005
2_6a,oval,1.1,26.928800000000003
3_4,oval,1.4,23.734
1_3,oval,2.0,49.9062
1_4,oval,0.2,44.5025
3_2,circular,0.2,23.969900000000003
1_8,circular,1.9,58.4978
1_2,circular,0.8,37.8173
1_4,circular,1.4,37.1556
2_6a,circular,0.0,21.1879
1_4,oval,2.0,44.156800000000004
1_3,oval,0.2,47.3136
3_2,circular,2.0,14.1789
1_3,oval,0.0,45.121300000000005
2_6a,circular,0.2,22.417400000000004
1_4,circular,1.6,36.295500000000004
3_2,circular,0.0,21.2485
2_6a,circular,2.0,15.040000000000001
1_4,oval,0.0,42.68
3_4,oval,1.6,22.8638
3_6,oval,1.9,47.25730000000001
2_6a,oval,1.3,26.9373
1_2,oval,0.7,45.849000000000004
3_2,oval,1.1,26.0339
2_3,oval,1.2,81.0707
3_6,circular,0.4,40.3434
1_5,circular,0.4,47.6341
1_8,oval,1.0,67.5003
1_5,oval,0.7,54.069300000000005
1_3,circular,1.8,38.0985
2_7,circular,1.8,43.325
2_1,circular,0.4,72.99940000000001
2_1,circular,0.5,72.7658
2_7,circular,1.9,42.890299999999996
1_5,oval,0.6,53.841800000000006
1_3,circular,1.9,37.716800000000006
3_6,circular,0.5,39.372400000000006
1_8,oval,1.1,67.38250000000001
1_5,circular,0.5,47.0268
2_3,oval,1.3,81.2243
3_2,oval,1.0,26.305500000000002
1_2,oval,0.6,45.631400000000006
2_6a,oval,1.2,26.9377
3_6,oval,1.8,47.580200000000005
3_4,oval,1.7,22.452600000000004
1_4,oval,0.1,43.9521
3_2,circular,0.1,24.0691
1_4,circular,1.7,35.8932
1_3,oval,0.1,46.577
2_6a,circular,0.3,22.0892
2_6a,circular,0.7,20.3626
1_3,oval,0.5,48.6484
1_4,circular,1.3,37.5871
1_4,oval,0.5,45.2786
3_4,circular,1.9,16.686200000000003
2_1,oval,1.8,80.65190000000001
3_2,circular,0.5,22.277000000000005
3_4,oval,1.3,24.170700000000004
2_3,circular,1.9,68.46430000000001
1_2,oval,0.2,43.825
1_5,oval,2.0,54.3641
2_6a,oval,1.6,26.905500000000004
2_3,oval,1.7,81.6854
3_2,oval,1.4,25.236
1_5,oval,0.2,52.00690000000001
1_2,oval,2.0,46.6324
1_5,circular,0.1,49.0858
1_8,oval,1.5,66.8366
3_6,circular,0.1,42.2734
2_1,circular,0.1,73.4355
2_1,circular,0.0,73.4509
1_8,oval,1.4,66.9799
1_5,circular,0.0,49.01400000000001
3_6,circular,0.0,37.5268
1_5,oval,0.3,52.678000000000004
3_2,oval,1.5,24.9434
2_3,oval,1.6,81.592
2_6a,oval,1.7,26.8877
1_2,oval,0.3,44.4511
2_3,circular,1.8,68.7882
3_4,oval,1.2,24.6352
3_2,circular,0.4,22.9227
2_1,oval,1.9,80.78
1_4,oval,0.4,45.127
3_4,circular,1.8,17.1328
1_4,circular,1.2,38.0313
2_6a,circular,0.6,20.8165
1_3,oval,0.4,48.3196
1_3,oval,0.6,48.918000000000006
2_6a,circular,0.4,21.681900000000002
1_4,circular,1.0,38.958600000000004
1_4,oval,0.6,45.3525
3_2,circular,0.6,21.5969
3_4,oval,1.0,25.596100000000003
1_2,oval,0.1,42.965500000000006
2_6a,oval,1.5,26.9338
1_5,circular,2.0,38.2272
3_6,circular,2.0,28.2481
2_3,oval,1.4,81.3477
1_6,circular,0.8,51.9014
2_1,circular,2.0,68.9372
1_6,oval,0.9,69.6448
3_2,oval,1.7,24.4144
1_5,oval,0.1,51.0645
3_6,circular,0.2,42.012
1_5,circular,0.2,48.682
1_8,oval,1.6,66.6878
2_1,circular,0.2,73.3332
2_1,circular,0.3,73.1888
3_6,circular,0.3,41.271499999999996
1_8,oval,1.7,66.52340000000001
1_5,circular,0.3,48.2077
1_5,oval,0.0,49.01400000000001
3_2,oval,1.6,24.677000000000003
1_6,oval,0.8,69.5988
2_3,oval,1.5,81.47760000000001
1_6,circular,0.9,51.1313
2_6a,oval,1.4,26.9506
1_2,oval,0.0,40.97390000000001
3_4,oval,1.1,25.1123
3_2,circular,0.7,20.9507
1_4,oval,0.7,45.408
1_4,circular,1.1,38.4851
1_3,oval,0.7,49.1545
2_6a,circular,0.5,21.258200000000002
